dataset_name,table_name,granularity,paid/unpaid,region,hierarchy,category,dateTimeColumn,Being used,Utilised in Project
ERCOT - SSWG,SSWG_WINTER_SUBSTATION_SWITCHING_DEVICE_BLOCK,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,No,No
ERCOT - SSWG,SSWG_WINTER_SUBSTATION__SWITCHING_DEVICE_BLOCK,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,Yes,SRD->ERCOT_CRR
ERCOT - SSWG,SSWG_SUMMER_SUBSTATION_SWITCHING_DEVICE_BLOCK,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,Yes,SRD->ERCOT_CRR
ERCOT - SSWG,SSWG_SPRING_SUBSTATION_SWITCHING_DEVICE_BLOCK,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,Yes,SRD->ERCOT_CRR
ERCOT - SSWG,SSWG_FALL_SUBSTATION_SWITCHING_DEVICE_BLOCK,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,Yes,SRD->ERCOT_CRR
ERCOT - SSWG,SSWG_SUMMER_TERMINAL_DATA,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,Yes,SRD->ERCOT_CRR
ERCOT - SSWG,SSWG_FALL_TERMINAL_DATA,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,Yes,SRD->ERCOT_CRR
ERCOT - SSWG,SSWG_WINTER_TERMINAL_DATA,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,Yes,SRD->ERCOT_CRR
ERCOT - SSWG,SSWG_SPRING_TERMINAL_DATA,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,Yes,SRD->ERCOT_CRR
ERCOT - SSWG,SSWG_WINTER_SYSTEM_SWITCHING_DEVICE_DATA,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,Yes,SRD->ERCOT_CRR
ERCOT - SSWG,SSWG_SUMMER_SYSTEM_SWITCHING_DEVICE_DATA,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,Yes,SRD->ERCOT_CRR
ERCOT - SSWG,SSWG_SPRING_SYSTEM_SWITCHING_DEVICE_DATA,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,Yes,SRD->ERCOT_CRR
ERCOT - SSWG,SSWG_FALL_SYSTEM_SWITCHING_DEVICE_DATA,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,Yes,SRD->ERCOT_CRR
ERCOT - SSWG,SSWG_SPRING_SUBSTATION_NODE_DATA_V1,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,Yes,SRD->ERCOT_CRR
NYISO - gold_book_baseline_forecast,coincident_winter_peak_demand,daily,UNPAID,North America,NYISO,Generator,ee_timestamp,No,No
NYISO - gold_book_baseline_forecast,coincident_summer_peak_demand,daily,UNPAID,North America,NYISO,Generator,ee_timestamp,No,No
NYISO - gold_book_baseline_forecast,annual_energy_by_zone,daily,UNPAID,North America,NYISO,Generator,ee_timestamp,No,No
CAISO - transmission_outages,transmission_outages,hourly,UNPAID,North America,CAISO,Transmission,ee_timestamp,No,No
CAISO - energy_prices_lmp,energy_prices_lmp,hourly,UNPAID,North America,CAISO,Prices,ee_timestamp,No,No
NATIONAL_GRID - wind_power_forecast_14_days_ahead_unit_level,wind_power_forecast_14_days_ahead_unit_level,30-min,UNPAID,North America,NATIONAL_GRID,Wind Power Forecast,ee_timestamp,No,No
WECC - regional_historical_demand,regional_historical_demand,hourly,UNPAID,North America,WECC,Demand,ee_timestamp,Yes,Analysis(ERCOT_CRR/Reference Cases)
IESO - Realtime_Shadow_Prices,Realtime_Shadow_Prices,hourly,UNPAID,North America,IESO,Prices,ee_timestamp,Yes,Analysis(ERCOT_CRR/Reference Cases)
EIA - STEO-DATA,STEO-DATA,daily,UNPAID,North America,EIA,Outlook,ee_timestamp,Yes,SRD->ERCOT_CRR
ERCOT - DAM_CURRENT_OPERATING_PLAN_ALL_UPDATES,DAM_CURRENT_OPERATING_PLAN_ALL_UPDATES,hourly,UNPAID,North America,ERCOT,Generator,ee_timestamp,No,No
PJM - day_ahead_hourly_lmp,day_ahead_hourly_lmp,hourly,UNPAID,North America,PJM,Prices,ee_timestamp,No,No
EPA - CSAPR,allocations_deductions_program,daily,UNPAID,North America,CSAPR,Emissions,ee_timestamp,Yes,No
EPA - CSAPR,Allocations_Deductions_State,daily,UNPAID,North America,CSAPR,Emissions,ee_timestamp,Yes,No
EPA - CSAPR,price_volume,daily,UNPAID,North America,CSAPR,Emissions,ee_timestamp,No,No
EPA - CSAPR,volume_deductions,daily,UNPAID,North America,CSAPR,Emissions,ee_timestamp,No,No
ERCOT - CRR,Area_data,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,Yes,No
ERCOT - CRR,Branch_data,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,Yes,No
ERCOT - CRR,Bus_data,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,Yes,SRD -> ERCOT_CRR
ERCOT - CRR,Generator_data,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,No,No
ERCOT - CRR,Impedance_correction_data,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,No,No
ERCOT - CRR,Load_data,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,Yes,SRD -> ERCOT_CRR
ERCOT - CRR,Monthly_Auction_Contingencies,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,Yes,SRD->ERCOT_CRR
ERCOT - CRR,Monthly_Auction_DynamicRatings,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,Yes,Analysis 
ERCOT - CRR,Monthly_Auction_MonitoredLinesAndTransformers,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,No,No
ERCOT - CRR,Monthly_Auction_Monitored_Lines_And_Transformers,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,No,No
ERCOT - CRR,Monthly_Auction_Non_ThermalConstraints,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,No,No
ERCOT - CRR,Monthly_Auction_Sources_Sinks,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,Yes,No
ERCOT - CRR,Owner_data,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,No,No
ERCOT - CRR,Transformer_data,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,Yes,No
ERCOT - CRR,Zone_data,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,No,No
ERCOT - CRR,Monthly_Auction_Outages,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,No,No
ERCOT - CRR,Monthly_Auction_Mapping_Autos,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,No,No
ERCOT - CRR,Monthly_Auction_Mapping_Lines,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,No,No
ERCOT - CRR,Monthly_Auction_Mapping_Document_Lines,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,No,No
ERCOT - CRR,Monthly_Auction_Mapping_Document_Autos,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,No,No
ERCOT - rtp_economic_start_cases,rtp_economic_start_cases,hourly,UNPAID,North America,ERCOT,Generator,ee_timestamp,Yes,Analysis(ERCOT_CRR/Reference Cases)
MISOENERGY - day_ahead_prices,day_ahead_prices_details,hourly,UNPAID,North America,MISOENERGY,Prices,ee_timestamp,No,No
MISOENERGY - day_ahead_prices,day_ahead_prices_summary,daily,UNPAID,North America,MISOENERGY,Prices,ee_timestamp,No,No
EIA Cost and Quality of Fossil Fuels - electric_utilities,electric_utilities,daily,UNPAID,North America,EIA,Commodity,ee_timestamp,No,No
EIA Cost and Quality of Fossil Fuels - independent_power_producers,independent_power_producers,daily,UNPAID,North America,EIA,Commodity,ee_timestamp,No,No
WECC - camx_ba_historical_demand,camx_ba_historical_demand,hourly,UNPAID,North America,WECC,Demand,ee_timestamp,No,No
WECC - dsw_ba_historical_demand,dsw_ba_historical_demand,hourly,UNPAID,North America,WECC,Demand,ee_timestamp,No,No
WECC - nwpp_ne_ba_historical_demand,nwpp_ne_ba_historical_demand,hourly,UNPAID,North America,WECC,Demand,ee_timestamp,No,No
WECC - nwpp_cen_ba_historical_demand,nwpp_cen_ba_historical_demand,hourly,UNPAID,North America,WECC,Demand,ee_timestamp,No,No
SPP - da_lmp_by_location,da_lmp_by_location,hourly,UNPAID,North America,SPP,Prices,ee_timestamp,No,No
ISONE - hourly_da_lmp,hourly_da_lmp,hourly,UNPAID,North America,ISONE,Prices,ee_timestamp,No,No
ISONE - real_time_actual_scheduled_interchange,real_time_actual_scheduled_interchange,hourly,UNPAID,North America,ISONE,Transmission,ee_timestamp,No,No
IESO - Hourly_Ontario_Energy_Price,Hourly_Ontario_Energy_Price,hourly,UNPAID,North America,IESO,Prices,ee_timestamp,No,No
IESO - Predispatch_Shadow_Prices_Report,Predispatch_Shadow_Prices_Report,hourly,UNPAID,North America,IESO,Prices,ee_timestamp,No,No
IESO - Day_ahead_shadow_Prices_report,Day_ahead_shadow_Prices_report,hourly,UNPAID,North America,IESO,Prices,ee_timestamp,No,No
NYISO - ancillary_service_prices,ancillary_service_prices,hourly,UNPAID,North America,NYISO,Ancillary Services,ee_timestamp,No,No
IESO - Nodal_Prices,Nodal_Prices,hourly,UNPAID,North America,IESO,Prices,ee_timestamp,Yes,No
EIA - electric_generator_inventory_EIA860M,Operating,daily,UNPAID,North America,EIA,Generator,Publish_timestamp,No,No
EIA - electric_generator_inventory_EIA860M,Planned,daily,UNPAID,North America,EIA,Generator,Publish_timestamp,No,No
EIA - electric_generator_inventory_EIA860M,Planned_PR,daily,UNPAID,North America,EIA,Generator,Publish_timestamp,No,No
EIA - electric_generator_inventory_EIA860M,Operating_PR,daily,UNPAID,North America,EIA,Generator,Publish_timestamp,No,No
EIA - electric_generator_inventory_EIA860M,Canceled_or_Postponed,daily,UNPAID,North America,EIA,Generator,Publish_timestamp,No,No
EIA - electric_generator_inventory_EIA860M,Retired,daily,UNPAID,North America,EIA,Generator,Publish_timestamp,No,No
EIA - electric_generator_inventory_EIA860M,Retired_PR,daily,UNPAID,North America,EIA,Generator,Publish_timestamp,No,No
ISONE - ttc_tables,ttc_tables,hourly,UNPAID,North America,ISONE,Transmission,ee_timestamp,No,No
NYISO - internal_external_transmission_interface_limits_flows,internal_external_transmission_interface_limits_flows,1-min,UNPAID,North America,NYISO,Transmission,ee_timestamp,No,No
ERCOT - GRID_Timeseries_Format,Data_Dictionary,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,No,No
ERCOT - GRID_Timeseries_Data,Data_Dictionary,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,Yes,SRD -> ERCOT_CRR
ERCOT - Long_Term_Daily_Load_Forecast_Updated,Daily_Mins_Data,hourly,UNPAID,North America,ERCOT,Load,ee_timestamp,Yes,SRD -> ERCOT_CRR
ERCOT - Long_Term_Daily_Load_Forecast_Updated,Daily_Peak_Data,daily,UNPAID,North America,ERCOT,Load,ee_timestamp,Yes,SRD -> ERCOT_CRR
ENTSOE - Forecasted_Year_Ahead_Transfer_Capacities,Forecasted_Year_Ahead_Transfer_Capacities_P1M,daily,PAID,North America,ENTSOE,Electric Generation & Transmission,ee_timestamp,No,No
ENTSOE - Forecasted_Year_ahead_Transfer_Capacities_v1,Forecasted_Year_ahead_Transfer_Capacities_v1_P1M,daily,PAID,North America,ENTSOE,Electric Generation & Transmission,DateTime,Yes,SRD -> i1000
AIOLOS - short_day_ahead_load,short_day_ahead_load,hourly,PAID,EMEA,AIOLOS,Generation and Load Forecast,ee_timestamp,Yes,SRD -> i14
AIOLOS - short_day_ahead_solar,short_day_ahead_solar,hourly,PAID,EMEA,AIOLOS,Generation and Load Forecast,ee_timestamp,Yes,SRD -> i14
AIOLOS - short_day_ahead_wind,short_day_ahead_wind,hourly,PAID,EMEA,AIOLOS,Generation and Load Forecast,ee_timestamp,Yes,SRD -> i14
AIOLOS - long_actual_load,long_actual_load,hourly,UNPAID,EMEA,AIOLOS,Generation and Load Forecast,ee_timestamp,No,No
AIOLOS - long_actual_solar,long_actual_solar,hourly,UNPAID,EMEA,AIOLOS,Generation and Load Forecast,ee_timestamp,No,No
AIOLOS - long_actual_wind,long_actual_wind,hourly,UNPAID,EMEA,AIOLOS,Generation and Load Forecast,ee_timestamp,No,No
AIOLOS - long_day_ahead_load,long_day_ahead_load,hourly,UNPAID,EMEA,AIOLOS,Generation and Load Forecast,ee_timestamp,No,No
AIOLOS - long_day_ahead_solar,long_day_ahead_solar,hourly,UNPAID,EMEA,AIOLOS,Generation and Load Forecast,ee_timestamp,No,No
AIOLOS - long_day_ahead_wind,long_day_ahead_wind,hourly,UNPAID,EMEA,AIOLOS,Generation and Load Forecast,ee_timestamp,No,No
USNRC - NRC_Power_Reactor_Status,NRC_Power_Reactor_Status,daily,UNPAID,North America,USNRC,Generator,ee_timestamp,No,No
JAO - initial_computation,initial_computation,hourly,UNPAID,EMEA,JAO,Power Transmission,dateTimeUtc,Yes,SRD -> i1000
ERCOT - MORA_Timeseries_Format,MORA_Timeseries_Format,daily,UNPAID,North America,ERCOT,Generator,ee_timestamp,Yes,SRD -> ERCOT_CRR
EIA - NATURAL-GAS-FUT-DAILY,NATURAL-GAS-FUT-DAILY,daily,UNPAID,North America,EIA,natural-gas,ee_timestamp,No,No
EIA - NATURAL-GAS-FUT-WEEKLY,NATURAL-GAS-FUT-WEEKLY,daily,UNPAID,North America,EIA,natural-gas,ee_timestamp,No,No
EIA - NATURAL-GAS-SUM-MONTHLY,NATURAL-GAS-SUM-MONTHLY,daily,UNPAID,North America,EIA,natural-gas,ee_timestamp,No,No
EIA - NATURAL-GAS-FUT-MONTHLY,NATURAL-GAS-FUT-MONTHLY,daily,UNPAID,North America,EIA,natural-gas,ee_timestamp,No,No
EIA - NATURAL-GAS-LSUM-MONTHLY,NATURAL-GAS-LSUM-MONTHLY,daily,UNPAID,North America,EIA,natural-gas,ee_timestamp,No,No
EIA - NATURAL-GAS-FUT-ANNUAL,NATURAL-GAS-FUT-ANNUAL,daily,UNPAID,North America,EIA,natural-gas,ee_timestamp,No,No
EIA - NATURAL-GAS-LSUM-ANNUAL,NATURAL-GAS-LSUM-ANNUAL,daily,UNPAID,North America,EIA,natural-gas,ee_timestamp,No,No
EIA - NATURAL-GAS-SUM-ANNUAL,NATURAL-GAS-SUM-ANNUAL,daily,UNPAID,North America,EIA,natural-gas,ee_timestamp,No,No
EIA - PETROLEUM-FUT-DAILY,PETROLEUM-FUT-DAILY,daily,UNPAID,North America,EIA,petroleum,ee_timestamp,No,No
EIA - PETROLEUM-FUT-WEEKLY,PETROLEUM-FUT-WEEKLY,daily,UNPAID,North America,EIA,petroleum,ee_timestamp,No,No
EIA - PETROLEUM-FUT-MONTHLY,PETROLEUM-FUT-MONTHLY,daily,UNPAID,North America,EIA,petroleum,ee_timestamp,No,No
EIA - PETROLEUM-FUT-ANNUAL,PETROLEUM-FUT-ANNUAL,daily,UNPAID,North America,EIA,petroleum,ee_timestamp,No,No
EIA - PETROLEUM-WFR-WEEKLY,PETROLEUM-WFR-WEEKLY,daily,UNPAID,North America,EIA,petroleum,ee_timestamp,No,No
EIA - PETROLEUM-WFR-MONTHLY,PETROLEUM-WFR-MONTHLY,daily,UNPAID,North America,EIA,petroleum,ee_timestamp,No,No
EIA - PETROLEUM-RESID-MONTHLY,PETROLEUM-RESID-MONTHLY,daily,UNPAID,North America,EIA,petroleum,ee_timestamp,No,No
EIA - PETROLEUM-RESID-ANNUAL,PETROLEUM-RESID-ANNUAL,daily,UNPAID,North America,EIA,petroleum,ee_timestamp,No,No
EIA - PETROLEUM-DIST-MONTHLY,PETROLEUM-DIST-MONTHLY,daily,UNPAID,North America,EIA,petroleum,ee_timestamp,No,No
EIA - PETROLEUM-DIST-ANNUAL,PETROLEUM-DIST-ANNUAL,daily,UNPAID,North America,EIA,petroleum,ee_timestamp,No,No
EIA - NUCLEAR-OUTAGES-US-NUCLEAR-OUTAGES,NUCLEAR-OUTAGES-US-NUCLEAR-OUTAGES,daily,UNPAID,North America,EIA,nuclear-outages,ee_timestamp,No,No
EIA - NUCLEAR-OUTAGES-FACILITY-NUCLEAR-OUTAGES,NUCLEAR-OUTAGES-FACILITY-NUCLEAR-OUTAGES,daily,UNPAID,North America,EIA,nuclear-outages,ee_timestamp,No,No
EIA - ELECTRICITY-ELECTRIC-POWER-OPERATIONAL-DATA,ELECTRICITY-ELECTRIC-POWER-OPERATIONAL-DATA,daily,UNPAID,North America,EIA,electricity,ee_timestamp,No,No
ERCOT - Dam_Complete_Current_Operating_Plan_Data_v1,Dam_Complete_Current_Operating_Plan_Data_v1,hourly,UNPAID,North America,ERCOT,Day-Ahead Market,ee_timestamp,No,No
EIA - ELECTRICITY-OPERATING-GENERATOR-CAPACITY,ELECTRICITY-OPERATING-GENERATOR-CAPACITY,daily,UNPAID,North America,EIA,electricity,ee_timestamp,No,No
EIA - ELECTRICITY-FACILITY-FUEL,ELECTRICITY-FACILITY-FUEL,daily,UNPAID,North America,EIA,electricity,ee_timestamp,No,No
EIA - ELECTRICITY-REGION-DATA,ELECTRICITY-REGION-DATA,hourly,UNPAID,North America,EIA,electricity,ee_timestamp,No,No
EIA - ELECTRICITY-FUEL-TYPE-DATA,ELECTRICITY-FUEL-TYPE-DATA,hourly,UNPAID,North America,EIA,electricity,ee_timestamp,No,No
EIA - ELECTRICITY-REGION-SUB-BA-DATA,ELECTRICITY-REGION-SUB-BA-DATA,hourly,UNPAID,North America,EIA,electricity,ee_timestamp,No,No
EIA - ELECTRICITY-INTERCHANGE-DATA,ELECTRICITY-INTERCHANGE-DATA,hourly,UNPAID,North America,EIA,electricity,ee_timestamp,No,No
EIA - ELECTRICITY-EMISSIONS-BY-STATE-BY-FUEL,ELECTRICITY-EMISSIONS-BY-STATE-BY-FUEL,daily,UNPAID,North America,EIA,electricity,ee_timestamp,No,No
JAO - final_computation,final_computation,hourly,UNPAID,EMEA,JAO,Power Transmission,dateTimeUtc,Yes,SRD -> i1000
TERNA - Produzione_termoelettrica,Produzione_termoelettrica,daily,UNPAID,EMEA,TERNA,Generation,ee_timestamp,No,No
TERNA - Produzione_indrica,Produzione_indrica,daily,UNPAID,EMEA,TERNA,Generation,ee_timestamp,No,No
TERNA - Produzione_fonti_rinnovabili,Produzione_fonti_rinnovabili,daily,UNPAID,EMEA,TERNA,Generation,ee_timestamp,No,No
TERNA - capacita_fonti_rinnovabili,capacita_fonti_rinnovabili,daily,UNPAID,EMEA,TERNA,Renewable Energy Capacity,ee_timestamp,No,No
TERNA - capacita_impianti_di_generazione,capacita_impianti_di_generazione,daily,UNPAID,EMEA,TERNA,Generation,ee_timestamp,No,No
TERNA - capacita_termoelecttrica,capacita_termoelecttrica,daily,UNPAID,EMEA,TERNA,Thermal Power Capacity,ee_timestamp,No,No
TERNA - Domanda_copertura_della_domanda_per_fonte,Domanda_copertura_della_domanda_per_fonte,daily,UNPAID,EMEA,TERNA,Demand,ee_timestamp,No,No
PHILIPPINES-IEMOP - rtd_regional_reserve_prices,rtd_regional_reserve_prices,5-min,UNPAID,APAC,PHILIPPINES-IEMOP,Power Demand,ee_timestamp,Yes,No
PHILIPPINES-IEMOP - dap_regional_reserve_prices,dap_regional_reserve_prices,hourly,UNPAID,APAC,PHILIPPINES-IEMOP,Power Demand,ee_timestamp,Yes,No
PHILIPPINES-IEMOP - dap_regional_summaries,dap_regional_summaries,hourly,UNPAID,APAC,PHILIPPINES-IEMOP,Power Demand,ee_timestamp,Yes,No
PHILIPPINES-IEMOP - dap_hvdc_schedules,dap_hvdc_schedules,hourly,UNPAID,APAC,PHILIPPINES-IEMOP,Power Demand,ee_timestamp,Yes,No
PHILIPPINES-IEMOP - security_limits_used_in_dap,security_limits_used_in_dap,1-min,UNPAID,APAC,PHILIPPINES-IEMOP,Power Demand,ee_timestamp,Yes,No
PHILIPPINES-IEMOP - rtd_hvdc_schedules,rtd_hvdc_schedules,5-min,UNPAID,APAC,PHILIPPINES-IEMOP,Power Demand,ee_timestamp,Yes,No
PHILIPPINES-IEMOP - outage_schedules,outage_schedules,5-min,UNPAID,APAC,PHILIPPINES-IEMOP,Power Demand,ee_timestamp,Yes,No
PHILIPPINES-IEMOP - regional_merit_order_table_mot_files,regional_merit_order_table_mot_files,5-min,UNPAID,APAC,PHILIPPINES-IEMOP,Power Demand,ee_timestamp,Yes,No
EIA - COAL-PRICE-BY-RANK,COAL-PRICE-BY-RANK,daily,UNPAID,North America,EIA,coal,ee_timestamp,No,No
EIA - DENSIFIED-BIOMASS-PRODUCTION-BY-REGION,DENSIFIED-BIOMASS-PRODUCTION-BY-REGION,daily,UNPAID,North America,EIA,densified-biomass,ee_timestamp,No,No
EIA - DENSIFIED-BIOMASS-CAPACITY-BY-REGION,DENSIFIED-BIOMASS-CAPACITY-BY-REGION,daily,UNPAID,North America,EIA,densified-biomass,ee_timestamp,No,No
EIA - ELECTRICITY-CAPABILITY,ELECTRICITY-CAPABILITY,daily,UNPAID,North America,EIA,electricity,ee_timestamp,No,No
EIA - ELECTRICITY-DAILY-FUEL-TYPE-DATA,ELECTRICITY-DAILY-FUEL-TYPE-DATA,daily,UNPAID,North America,EIA,electricity,ee_timestamp,No,No
EIA - ELECTRICITY-DAILY-INTERCHANGE-DATA,ELECTRICITY-DAILY-INTERCHANGE-DATA,daily,UNPAID,North America,EIA,electricity,ee_timestamp,No,No
EIA - ELECTRICITY-DAILY-REGION-DATA,ELECTRICITY-DAILY-REGION-DATA,daily,UNPAID,North America,EIA,electricity,ee_timestamp,No,No
EIA - ELECTRICITY-DAILY-REGION-SUB-BA-DATA,ELECTRICITY-DAILY-REGION-SUB-BA-DATA,daily,UNPAID,North America,EIA,electricity,ee_timestamp,No,No
EIA - NUCLEAR-OUTAGES-GENERATOR-NUCLEAR-OUTAGES,NUCLEAR-OUTAGES-GENERATOR-NUCLEAR-OUTAGES,daily,UNPAID,North America,EIA,nuclear-outages,ee_timestamp,No,No
ELEXON - generation_by_fuel_type_24_h_instant_data_v1,generation_by_fuel_type_24_h_instant_data_v1,5-min,PAID,North America,ELEXON,Generation,Date Time,No,No
ELEXON - day_ahead_total_load_forecast_per_bidding_zone_v1,day_ahead_total_load_forecast_per_bidding_zone_v1,daily,PAID,North America,ELEXON,Electric Generation & Transmission,Date Time,Yes,SRD -> i1000
ELEXON - actual_generation_output_per_generation_unit_v1,actual_generation_output_per_generation_unit_v1,daily,PAID,EMEA,ELEXON,Generation,Date Time,Yes,Analysis
ENTSOG - Physical_flows,Physical_flows,hourly,UNPAID,EMEA,ENTSOG,Gas flows,ee_timestamp,No,No
National_Gas - demand,demand,daily,UNPAID,EMEA,National_Gas,Gas,ee_timestamp,No,No
ELEXON - actual_aggregated_generation_per_type_v1,actual_aggregated_generation_per_type_v1,daily,PAID,EMEA,ELEXON,Electric Generation & Transmission,ee_timestamp,Yes,No
NYISO - day_ahead_market_lbmp_generator,day_ahead_market_lbmp_generator,hourly,UNPAID,North America,NYISO,prices,ee_timestamp,No,No
NYISO - zonal_load_commitment,zonal_load_commitment,hourly,UNPAID,North America,NYISO,load,ee_timestamp,No,No
PJM - da_interface_flow_n_limit,da_interface_flow_n_limit,hourly,UNPAID,North America,PJM,interface flows,ee_timestamp,No,No
PJM - generation_by_fuel_type,generation_by_fuel_type,hourly,UNPAID,North America,PJM,generation,ee_timestamp,No,No
PJM - historical_load_forecasts,historical_load_forecasts,hourly,UNPAID,North America,PJM,load,ee_timestamp,No,No
PECD - PECD_demand,PECD_demand,hourly,UNPAID,EMEA,PECD,climate demand,ee_timestamp,No,No
PECD - PECD_hydro,Hydro_YearDependent,daily,UNPAID,EMEA,PECD,climate demand,ee_timestamp,No,No
PECD - PECD_hydro,Hydro_MarketNodeInfo,daily,UNPAID,EMEA,PECD,climate demand,ee_timestamp,No,No
PECD - PECD_hydro,Hydro_Uniform,daily,UNPAID,EMEA,PECD,climate demand,ee_timestamp,No,No
PECD - PECD_renewable,PECD_renewable,hourly,UNPAID,EMEA,PECD,climate demand,ee_timestamp,No,No
ELEXON - year_ahead_total_load_forecast_per_bidding_zone_v1,year_ahead_total_load_forecast_per_bidding_zone_v1,daily,PAID,EMEA,ELEXON,Electric Generation & Transmission,Date Time,No,No
ELEXON - week_ahead_total_load_forecast_per_bidding_zone_v1,week_ahead_total_load_forecast_per_bidding_zone_v1,daily,PAID,EMEA,ELEXON,Electric Generation & Transmission,Date Time,No,No
ELEXON - month_ahead_total_load_forecast_per_bidding_zone_v1,month_ahead_total_load_forecast_per_bidding_zone_v1,daily,PAID,EMEA,ELEXON,Electric Generation & Transmission,Date Time,No,No
ELEXON - balancing_bid_offer_data,physical_data,1-min,PAID,EMEA,ELEXON,Prices,ee_timestamp,No,No
ELEXON - balancing_bid_offer_data,physical_data,1-min,PAID,EMEA,ELEXON,Prices,ee_timestamp,No,No
ELEXON - balancing_bid_offer_data,bid_offer_acceptance_data,30-min,PAID,EMEA,ELEXON,Prices,ee_timestamp,No,No
ELEXON - balancing_bid_offer_data,bid_offer_acceptance_data,30-min,PAID,EMEA,ELEXON,Prices,ee_timestamp,No,No
ELEXON - actual_total_load_per_bidding_zone_v1,actual_total_load_per_bidding_zone_v1,daily,PAID,EMEA,ELEXON,Electric Generation & Transmission,Date Time,Yes,SRD -> i1000
ELEXON - installed_generation_capacity_aggregated_v1,installed_generation_capacity_aggregated_v1,daily,PAID,EMEA,ELEXON,Electric Generation & Transmission,Date Time,Yes,No
ELEXON - installed_generation_capacity_per_unit_v1,installed_generation_capacity_per_unit_v1,daily,PAID,EMEA,ELEXON,Electric Generation & Transmission,ee_timestamp,No,No
ELEXON - Physical_data_Power_plant_real_time_limits_on_generation,dynamic_data,1-min,PAID,EMEA,ELEXON,Generation,ee_timestamp,No,No
ELEXON - Physical_data_Power_plant_real_time_limits_on_generation,dynamic_data,1-min,PAID,EMEA,ELEXON,Generation,ee_timestamp,No,No
ELEXON - Physical_data_Power_plant_real_time_limits_on_generation,physical_data,1-min,PAID,EMEA,ELEXON,Generation,ee_timestamp,No,No
ELEXON - Physical_data_Power_plant_real_time_limits_on_generation,physical_data,1-min,PAID,EMEA,ELEXON,Generation,ee_timestamp,No,No
ELEXON - Physical_data_Power_plant_real_time_limits_on_generation,bid_offer_acceptance_data,1-min,PAID,EMEA,ELEXON,Generation,ee_timestamp,No,No
ELEXON - Physical_data_Power_plant_real_time_limits_on_generation,bid_offer_acceptance_data,1-min,PAID,EMEA,ELEXON,Generation,ee_timestamp,No,No
PJM - real_time_hourly_prices,real_time_hourly_prices,hourly,UNPAID,North America,PJM,Prices,ee_timestamp,No,No
EIA - AEO-DATA,AEO-DATA,daily,UNPAID,North America,EIA,Outlook,ee_timestamp,No,No
EIA - EIA_923,Boiler_Fuel_Data_v1,daily,UNPAID,North America,EIA,Generation,ee_timestamp,No,No
EIA - EIA_923,Energy_Storage,daily,UNPAID,North America,EIA,Generation,ee_timestamp,No,No
EIA - EIA_923,Generation_Fuel_Consumption_v1,daily,UNPAID,North America,EIA,Generation,ee_timestamp,No,No
EIA - EIA_923,Generator_Data_v1,daily,UNPAID,North America,EIA,Generation,ee_timestamp,No,No
EIA - EIA_923,Boiler_Fuel_Data,daily,UNPAID,North America,EIA,Generation,ee_timestamp,No,No
EIA - EIA_923,Boiler_Fuel_Data_v2,daily,UNPAID,North America,EIA,Generation,ee_timestamp,No,No
EIA - EIA_923,Boiler_Fuel_Data_v3,daily,UNPAID,North America,EIA,Generation,ee_timestamp,No,No
NGI - lng_insight_landed_prices_data_v1,lng_insight_landed_prices_data_v1,daily,PAID,North America,NGI,gas,ee_timestamp,No,No
